city,year,weekofyear,total_cases
sj,2010,42,31
sj,2010,43,32
sj,2010,44,28
sj,2010,45,26
sj,2010,46,17
sj,2010,47,20
sj,2010,48,14
sj,2010,49,11
sj,2010,50,13
sj,2010,51,14
sj,2011,52,11
sj,2011,1,13
sj,2011,2,15
sj,2011,3,15
sj,2011,4,32
sj,2011,5,14
sj,2011,6,13
sj,2011,7,10
sj,2011,8,12
sj,2011,9,13
sj,2011,10,10
sj,2011,11,5
sj,2011,12,5
sj,2011,13,6
sj,2011,14,4
sj,2011,15,4
sj,2011,16,5
sj,2011,17,3
sj,2011,18,3
sj,2011,19,6
sj,2011,20,4
sj,2011,21,7
sj,2011,22,11
sj,2011,23,7
sj,2011,24,37
sj,2011,25,104
sj,2011,26,45
sj,2011,27,15
sj,2011,28,16
sj,2011,29,25
sj,2011,30,78
sj,2011,31,20
sj,2011,32,87
sj,2011,33,37
sj,2011,34,94
sj,2011,35,47
sj,2011,36,42
sj,2011,37,45
sj,2011,38,19
sj,2011,39,30
sj,2011,40,42
sj,2011,41,48
sj,2011,42,22
sj,2011,43,34
sj,2011,44,23
sj,2011,45,23
sj,2011,46,25
sj,2011,47,23
sj,2011,48,36
sj,2011,49,19
sj,2011,50,17
sj,2011,51,7
sj,2012,52,8
sj,2012,1,13
sj,2012,2,15
sj,2012,3,15
sj,2012,4,13
sj,2012,5,14
sj,2012,6,13
sj,2012,7,8
sj,2012,8,11
sj,2012,9,10
sj,2012,10,8
sj,2012,11,8
sj,2012,12,4
sj,2012,13,8
sj,2012,14,7
sj,2012,15,4
sj,2012,16,5
sj,2012,17,3
sj,2012,18,9
sj,2012,19,0
sj,2012,20,8
sj,2012,21,7
sj,2012,22,7
sj,2012,23,11
sj,2012,24,14
sj,2012,25,54
sj,2012,26,36
sj,2012,27,31
sj,2012,28,16
sj,2012,29,16
sj,2012,30,15
sj,2012,31,35
sj,2012,32,30
sj,2012,33,37
sj,2012,34,46
sj,2012,35,15
sj,2012,36,45
sj,2012,37,50
sj,2012,38,45
sj,2012,39,55
sj,2012,40,44
sj,2012,41,44
sj,2012,42,59
sj,2012,43,47
sj,2012,44,57
sj,2012,45,55
sj,2012,46,36
sj,2012,47,27
sj,2012,48,48
sj,2012,49,22
sj,2012,50,9
sj,2012,51,9
sj,2013,1,19
sj,2013,2,13
sj,2013,3,15
sj,2013,4,15
sj,2013,5,11
sj,2013,6,12
sj,2013,7,10
sj,2013,8,15
sj,2013,9,10
sj,2013,10,8
sj,2013,11,6
sj,2013,12,8
sj,2013,13,7
sj,2013,14,6
sj,2013,15,9
sj,2013,16,7
sj,2013,17,6
iq,2010,26,4
iq,2010,27,3
iq,2010,28,7
iq,2010,29,9
iq,2010,30,5
iq,2010,31,4
iq,2010,32,5
iq,2010,33,3
iq,2010,34,2
iq,2010,35,9
iq,2010,36,6
iq,2010,37,1
iq,2010,38,8
iq,2010,39,2
iq,2010,40,25
iq,2010,41,11
iq,2010,42,11
iq,2010,43,13
iq,2010,44,11
iq,2010,45,12
iq,2010,46,12
iq,2010,47,14
iq,2010,48,10
iq,2010,49,11
iq,2010,50,10
iq,2010,51,5
iq,2011,52,4
iq,2011,1,15
iq,2011,2,13
iq,2011,3,13
iq,2011,4,12
iq,2011,5,13
iq,2011,6,12
iq,2011,7,11
iq,2011,8,10
iq,2011,9,11
iq,2011,10,8
iq,2011,11,7
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,7
iq,2011,16,8
iq,2011,17,7
iq,2011,18,7
iq,2011,19,5
iq,2011,20,10
iq,2011,21,5
iq,2011,22,4
iq,2011,23,5
iq,2011,24,5
iq,2011,25,5
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,5
iq,2011,33,4
iq,2011,34,2
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,6
iq,2011,39,12
iq,2011,40,11
iq,2011,41,11
iq,2011,42,8
iq,2011,43,14
iq,2011,44,11
iq,2011,45,12
iq,2011,46,15
iq,2011,47,11
iq,2011,48,11
iq,2011,49,13
iq,2011,50,14
iq,2011,51,11
iq,2012,52,3
iq,2012,1,14
iq,2012,2,13
iq,2012,3,14
iq,2012,4,12
iq,2012,5,14
iq,2012,6,13
iq,2012,7,14
iq,2012,8,12
iq,2012,9,11
iq,2012,10,9
iq,2012,11,7
iq,2012,12,7
iq,2012,13,25
iq,2012,14,7
iq,2012,15,11
iq,2012,16,7
iq,2012,17,8
iq,2012,18,5
iq,2012,19,4
iq,2012,20,12
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,4
iq,2012,26,5
iq,2012,27,4
iq,2012,28,10
iq,2012,29,5
iq,2012,30,4
iq,2012,31,5
iq,2012,32,3
iq,2012,33,5
iq,2012,34,5
iq,2012,35,6
iq,2012,36,6
iq,2012,37,2
iq,2012,38,3
iq,2012,39,9
iq,2012,40,8
iq,2012,41,12
iq,2012,42,11
iq,2012,43,11
iq,2012,44,10
iq,2012,45,9
iq,2012,46,11
iq,2012,47,17
iq,2012,48,13
iq,2012,49,10
iq,2012,50,13
iq,2012,51,10
iq,2013,1,13
iq,2013,2,15
iq,2013,3,15
iq,2013,4,14
iq,2013,5,16
iq,2013,6,12
iq,2013,7,12
iq,2013,8,11
iq,2013,9,9
iq,2013,10,9
iq,2013,11,10
iq,2013,12,7
iq,2013,13,7
iq,2013,14,8
iq,2013,15,5
iq,2013,16,7
iq,2013,17,6
iq,2013,18,2
iq,2013,19,6
iq,2013,20,7
iq,2013,21,6
iq,2013,22,8
iq,2013,23,5
iq,2013,24,4
iq,2013,25,6
iq,2013,26,4
